| title   |     Female |
| 0-9     | 0.00167646 |
| 10-19   | 0.0102737  |
| 20-29   | 0.217467   |
| 30-39   | 0.257014   |
| 40-49   | 0.256154   |
| 50-59   | 0.161585   |
| 60-69   | 0.0549792  |
| 70-79   | 0.0317667  |
| 80-89   | 0.00941396 |
| 90+     | 0.00253618 || 0-9     | 0.00683479 |
| 10-19   | 0.0111334  |
| 20-29   | 0.137513   |
| 30-39   | 0.196833   |
| 40-49   | 0.213168   |
| 50-59   | 0.289683   |
| 60-69   | 0.0971056  |
| 70-79   | 0.0360653  |
| 80-89   | 0.0145723  |
| 90+     | 0.00253618 |
