|   title |   Controls |
|       1 |        3.4 |
|       2 |        0.7 |
|       3 |        8   |
|       4 |        4.5 |
|       5 |        2.8 |
|       6 |        2.8 |
|       7 |       25.2 |
|       8 |       14.3 |
|       9 |        1.7 |
|       0 |        0.6 |
|       1 |        2.2 |
|       2 |        0.9 |
|       3 |        5   |
|       4 |        3.4 |
|       5 |        3.7 |
|       6 |        3.8 |
|       7 |       35.5 |
|       8 |       28.4 |
|       9 |        4.3 |
|       0 |        0.9 |
