| title           |   Germination |
| Ctrl            |       7.18086 |
| Ce 500          |       7.24042 |
| Ce 1000         |       7.1213  |
| Ti 500          |       7.1213  |
| Ti 1000         |       7.24042 |
| Ce 500/Ti 500   |       7.06175 |
| Ce 500/Ti 1000  |       7.18086 |
| Ce 1000/Ti 500  |       7.24042 |
| Ce 1000/Ti 1000 |       7.24042 |
| Ctrl            |       3.8712  |
| Ce 500          |       8.09974 |
| Ce 1000         |       7.92107 |
| Ti 500          |       7.80195 |
| Ti 1000         |       7.86151 |
| Ce 500/Ti 500   |       8.09974 |
| Ce 500/Ti 1000  |       7.92107 |
| Ce 1000/Ti 500  |       8.09974 |
| Ce 1000/Ti 1000 |       8.09974 |
| Ctrl            |       9.05265 |
| Ce 500          |      10.7798  |
| Ce 1000         |      11.018   |
| Ti 500          |      11.1967  |
| Ti 1000         |      11.018   |
| Ce 500/Ti 500   |       8.99309 |
| Ce 500/Ti 1000  |       6.0748  |
| Ce 1000/Ti 500  |       8.81442 |
| Ce 1000/Ti 1000 |      10.6011  |
| Ctrl            |       5.95569 |
| Ce 500          |      14.8892  |
| Ce 1000         |      15.0083  |
| Ti 500          |      16.9142  |
| Ti 1000         |      15.0083  |
| Ce 500/Ti 500   |      16.8546  |
| Ce 500/Ti 1000  |      19.892   |
| Ce 1000/Ti 500  |      10.8394  |
| Ce 1000/Ti 1000 |      15.187   |
| Ctrl            |      15.0679  |
| Ce 500          |       7.08727 |
| Ce 1000         |       7.02771 |
| Ti 500          |       5.18145 |
| Ti 1000         |       6.96816 |
| Ce 500/Ti 500   |       7.14683 |
| Ce 500/Ti 1000  |       7.14683 |
| Ce 1000/Ti 500  |      13.1025  |
| Ce 1000/Ti 1000 |       7.02771 |
| Ctrl            |      13.8172  |
| Ce 500          |      16.8206  |
| Ce 1000         |      16.8801  |
| Ti 500          |      16.761   |
| Ti 1000         |      13.9618  |
| Ce 500/Ti 500   |      20.8704  |
| Ce 500/Ti 1000  |      16.761   |
| Ce 1000/Ti 500  |      13.9023  |
| Ce 1000/Ti 1000 |      16.8206  |
| Ctrl            |      13.9618  |
| Ce 500          |      11.1371  |
| Ce 1000         |      10.8989  |
| Ti 500          |      10.9585  |
| Ti 1000         |      13.8172  |
| Ce 500/Ti 500   |       6.96816 |
| Ce 500/Ti 1000  |      11.0776  |
| Ce 1000/Ti 500  |      13.9363  |
| Ce 1000/Ti 1000 |      11.0776  |
| Ctrl            |      14.115   |
| Ce 500          |      15.7826  |
| Ce 1000         |      16.0804  |
| Ti 500          |      15.9017  |
| Ti 1000         |      16.0208  |
| Ce 500/Ti 500   |      16.0208  |
| Ce 500/Ti 1000  |      15.7826  |
| Ce 1000/Ti 500  |      15.9612  |
| Ce 1000/Ti 1000 |      15.9017  |
