| title   |   28 days |
| Control |   43.3258 |
| T5      |   45.4386 |
| T10     |   47.0232 |
| T15     |   51.2488 |
| T5Z10   |   48.3437 |
| T5Z15   |   47.5514 |
| T10Z10  |   50.4565 |
| T10Z15  |   49.6642 |
| T15Z10  |   53.8898 |
| T15Z15  |   51.5129 |
| Control |   46.2309 |
| T5      |   48.3437 |
| T10     |   49.4001 |
| T15     |   53.3616 |
| T5Z10   |   49.6642 |
| T5Z15   |   48.6078 |
| T10Z10  |   52.0411 |
| T10Z15  |   51.5129 |
| T15Z10  |   56.2667 |
| T15Z15  |   54.5941 |
| Control |   54.1539 |
| T5      |   54.9462 |
| T10     |   55.4744 |
| T15     |   61.2847 |
| T5Z10   |   57.3231 |
| T5Z15   |   55.7385 |
| T10Z10  |   59.1719 |
| T10Z15  |   58.6437 |
| T15Z10  |   62.6052 |
| T15Z15  |   59.9642 |
