| title                |   Weight (0-4.9) |
| 200,000-1,000,000    |       0.0276528  |
| 1,000,001-5,000,000  |       6.99824    |
| 5,000,001-10,000,000 |       2.9912     |
| >10,000,001          |       1.98943    |
| 200,000-1,000,000    |       2.9912     |
| 1,000,001-5,000,000  |       7.02954    |
| 5,000,001-10,000,000 |       3.99296    |
| >10,000,001          |       2.9912     || 200,000-1,000,000    |       0.00678276 |
| 1,000,001-5,000,000  |       1.98943    |
| 5,000,001-10,000,000 |       0.966804   |
| >10,000,001          |       2.9912     |
