|   title |   Withdraw |
|       4 |  95.0752   |
|       5 |  90.0593   |
|       6 |  77.9754   |
|       7 |  74.7834   |
|       8 |  77.9754   |
|       9 |  81.6233   |
|      10 |  78.6594   |
|      11 |  81.1674   |
|      12 |  94.3912   |
|       4 |   1.82399  |
|       5 |   1.36799  |
|       6 |   0.455996 |
|       7 |   0.911993 |
|       8 |   0.227998 |
|       9 |   0        |
|      10 |   0.455996 |
|      11 |   0.455996 |
|      12 |   0.455996 |
|       4 |   3.19197  |
|       5 |   8.66393  |
|       6 |  21.4318   |
|       7 |  24.1678   |
|       8 |  21.8878   |
|       9 |  18.2399   |
|      10 |  20.9758   |
|      11 |  18.2399   |
|      12 |   5.01596  |
