| title   |   Major Allele |
| alph    |       0.995941 |
| bru-2   |       1.12582  |
| cdi     |       1.10108  |
| CG1273  |       1.20622  |
| CG4440  |       1.17994  |
| CG7196  |       1.27889  |
| CG9650  |       1.28044  |
| CG10864 |       1.30209  |
| CG15365 |       1.29745  |
| CG33970 |       1.45825  |
| dpr6    |       1.10417  |
| Eip75B  |       1.12582  |
| grp     |       0.907808 |
| jing    |       1.16448  |
| lola    |       0.949556 |
| MESR3   |       1.12737  |
| Oaz     |       1.30982  |
| pk      |       1.35466  |
| Ptp61F  |       1.21241  |
| Ubx     |       1.32373  |
| alph    |       1.00831  |
| bru-2   |       1.12891  |
| cdi     |       1.07944  |
| CG1273  |       1.3191   |
| CG4440  |       1.08871  |
| CG7196  |       1.30363  |
| CG9650  |       1.26498  |
| CG10864 |       1.36548  |
| CG15365 |       1.22632  |
| CG33970 |       1.39177  |
| dpr6    |       1.13355  |
| Eip75B  |       1.16448  |
| grp     |       0.929455 |
| jing    |       1.16911  |
| lola    |       0.965017 |
| MESR3   |       1.13664  |
| Oaz     |       1.41805  |
| pk      |       1.3562   |
| Ptp61F  |       1.12737  |
| Ubx     |       1.35311  |
