| Category                 |   first quartile |      max |      median |        min |   third quartile | x   |
| [unnamed data series #0] |       -0.0454887 | 0.776692 | -0.0201128  | -0.0607143 |       0.0137218  | S1  |
| [unnamed data series #0] |       -0.0471805 | 0.578759 | -0.0201128  | -0.0640977 |       0.0120301  | S2  |
| [unnamed data series #0] |       -0.0488722 | 0.414662 | -0.0370301  | -0.062406  |       0.00864662 | S3  |
| [unnamed data series #0] |       -0.0488722 | 0.776692 | -0.00827068 | -0.062406  |       0.0577068  | S4  |
| [unnamed data series #0] |       -0.0471805 | 0.582143 | -0.00996241 | -0.0640977 |       0.00695489 | S5  |
| [unnamed data series #0] |       -0.0454887 | 0.778383 | -0.0201128  | -0.0640977 |       0.00864662 | S6  |
| [unnamed data series #0] |       -0.0421053 | 0.778383 | -0.00319549 | -0.062406  |       0.081391   | S7  |
| [unnamed data series #0] |       -0.0488722 | 0.582143 | -0.0353383  | -0.0607143 |       0.00695489 | S8  |
| [unnamed data series #0] |       -0.0471805 | 0.41297  | -0.0218045  | -0.062406  |       0.00864662 | S9  |
| [unnamed data series #0] |        0.41297   | 0.998308 |  0.582143   | -0.0539474 |       0.775      | S10 |
| [unnamed data series #0] |       -0.0471805 | 0.578759 | -0.0218045  | -0.062406  |       0.00864662 | S11 |
| [unnamed data series #0] |       -0.0454887 | 0.580451 | -0.0218045  | -0.0640977 |       0.0103383  | S12 |
| [unnamed data series #0] |        1.00169   | 1.00169  |  1.00169    |  0.414662  |       1.00169    | S13 |
| [unnamed data series #0] |       -0.0471805 | 0.580451 | -0.0218045  | -0.0590226 |       0.0103383  | S14 |
| [unnamed data series #0] |       -0.0471805 | 0.578759 | -0.0201128  | -0.0607143 |       0.00695489 | S15 |
