| title       |   African-American |
| 0.1-10      |          0.0694481 |
| 10.01-20    |          0.0581465 |
| 20.01-30    |          0.0445847 |
| 30.01-40    |          0.0197212 |
| 40.01-50.10 |          0.0281974 |
| 0.1-10      |          0.140648  |
| 10.01-20    |          0.0434545 |
| 20.01-30    |          0.0445847 |
| 30.01-40    |          0.0174609 |
| 40.01-50.10 |          0.0298926 |
| 0.1-10      |          0.15647   |
| 10.01-20    |          0.0575815 |
| 20.01-30    |          0.0637973 |
| 30.01-40    |          0.0208514 |
| 40.01-50.10 |          0.0157657 |
| 0.1-10      |          0.170597  |
| 10.01-20    |          0.0479751 |
| 20.01-30    |          0.0654926 |
| 30.01-40    |          0.0197212 |
| 40.01-50.10 |          0.0197212 |
| 0.1-10      |          0.215238  |
| 10.01-20    |          0.0604069 |
| 20.01-30    |          0.0897909 |
| 30.01-40    |          0.0909211 |
| 40.01-50.10 |          0.0378037 |
