| title   |   WT Double Negative |
| D0      |            1.51394   |
| D12     |            4.7012    |
| D12+FAC |          540.08      |
| D0      |            1.51394   |
| D12     |           36.9278    |
| D12+FAC |          874.21      |
| D0      |            1.33687   |
| D12     |            5.2324    |
| D12+FAC |            1.51394   |
| D0      |            1.15981   |
| D12     |           43.6565    |
| D12+FAC |            1.51394   |
| D0      |            3.63878   |
| D12     |            7.88845   |
| D12+FAC |            9.48207   |
| D0      |            2.75343   |
| D12     |            2.57636   |
| D12+FAC |            1.51394   |
| D0      |          795.591     |
| D12     |          363.187     |
| D12+FAC |            1.51394   |
| D0      |          874.21      |
| D12     |           14.6171    |
| D12+FAC |            0.0973882 |
