| title         |   Male individuals |
| Neonates      |          11.2703   |
| Post-neonates |           1.47991  |
| 1-4           |           1.82072  |
| 5-9           |           1.10813  |
| 10-14         |           1.09264  |
| 15-19         |           1.1546   |
| 20-24         |           1.09264  |
| 25-29         |           1.27079  |
| 30-34         |           1.22431  |
| 35-39         |           1.39471  |
| 40-44         |           1.56512  |
| 45-49         |           1.84395  |
| 50-54         |           1.73552  |
| 55-59         |           1.72003  |
| 60-64         |           1.50315  |
| 65-69         |           1.28628  |
| 70-74         |           1.05391  |
| 75-79         |           0.821544 |
| >=80          |           0.682125 |
| Neonates      |           8.66777  |
| Post-neonates |           1.35599  |
| 1-4           |           1.12362  |
| 5-9           |           0.612415 |
| 10-14         |           0.565942 |
| 15-19         |           0.643397 |
| 20-24         |           0.573687 |
| 25-29         |           0.635652 |
| 30-34         |           0.620161 |
| 35-39         |           0.75958  |
| 40-44         |           0.744089 |
| 45-49         |           0.868018 |
| 50-54         |           0.976455 |
| 55-59         |           1.10038  |
| 60-64         |           1.03842  |
| 65-69         |           1.13137  |
| 70-74         |           0.960964 |
| 75-79         |           0.790562 |
| >=80          |           0.75958  |
