|   title |   Black Men |
|    2000 |     2.75168 |
|    2001 |     2.72346 |
|    2002 |     2.66843 |
|    2003 |     2.55414 |
|    2004 |     2.54145 |
|    2005 |     2.48501 |
|    2006 |     2.40741 |
|    2007 |     2.43563 |
|    2008 |     2.3157  |
|    2009 |     2.31711 |
|    2020 |     2.28748 |
|    2000 |     1.99683 |
|    2001 |     1.93333 |
|    2002 |     1.83175 |
|    2003 |     1.75838 |
|    2004 |     1.74145 |
|    2005 |     1.71605 |
|    2006 |     1.70194 |
|    2007 |     1.70194 |
|    2008 |     1.68783 |
|    2009 |     1.66243 |
|    2020 |     1.65961 |
