| title     |    others |
| 2001-2003 |  80.2177  |
| 2004-2006 |  80.2177  |
| 2007-2009 |  64.1742  |
| 2001-2003 |  18.049   |
| 2004-2006 |  14.0381  |
| 2007-2009 |  24.0653  |
| 2001-2003 |  18.049   |
| 2004-2006 |  12.0327  |
| 2007-2009 |  20.0544  || 2001-2003 |  46.1252  |
| 2004-2006 |  24.0653  |
| 2007-2009 |  12.0327  |
| 2001-2003 |  66.1796  |
| 2004-2006 |  68.1851  |
| 2007-2009 |  48.1306  |
| 2001-2003 |  58.1579  |
| 2004-2006 |  26.0708  |
| 2007-2009 |   8.02177 |
| 2001-2003 | 152.414   |
| 2004-2006 |  62.1687  |
| 2007-2009 |   4.01089 |
| 2001-2003 | 164.446   |
| 2004-2006 |  98.2667  |
| 2007-2009 |  20.0544  |
