| title    |        CNV |
| <=1      |    9.70371 |
| 1-10     |    9.70371 |
| 10-50    |   19.4074  |
| 50-100   |   29.1111  |
| 100-200  |   58.2223  |
| 200-400  |   38.8149  |
| 400-1000 |    9.70371 |
| >1000    |    9.70371 |
| <=1      | 1148.92    |
| 1-10     | 2290.08    |
| 10-50    |  245.827   |
| 50-100   |   85.3927  |
| 100-200  |   38.8149  |
| 200-400  |    9.70371 |
| 400-1000 |   31.0519  |
| >1000    |   54.3408  |
| <=1      |    3.88149 |
| 1-10     |   38.8149  |
| 10-50    |   42.0494  |
| 50-100   |    3.88149 |
| 100-200  |    1.94074 |
| 200-400  |    9.70371 |
| 400-1000 |    3.88149 |
| >1000    |    0       |
