| title   |           Zone 1 |
| Ca      |      3.4921      |
| Fe      |      2.30529     |
| K       |      3.25856     |
| Mg      |      1.07662     |
| Mn      |      6.9773      |
| Na      |      0.959321    |
| S       |    443.91        |
| Si      |      0.761664    |
| Ti      |      3.25856     |
| As      |    443.91        |
| Cd      |   5004.94        |
| Cr      |     21.1178      |
| Cu      |    103.761       |
| Ni      |     78.6668      |
| Pb      |     90.3466      |
| Se      |   3540.77        |
| Sn      |    207.316       |
| V       |     55.6533      |
| Zn      |    180.515       |
| Ba      |     12.1386      |
| Bi      |   3794.53        |
| Co      |     16.0106      |
| Cs      |    293.045       |
| La      |     84.3047      |
| Mo      |     96.8215      |
| Pd      | 730680           |
| Pt      |   2684.46        |
| Rb      |      1.00463     |
| Sb      |   4357.91        |
| Sc      |     18.3878      |
| Sr      |      2.15112     |
| Th      |     31.9897      |
| U       |    146.667       |
| W       |   1169.87        |
| Y       |      7.47735     |
| Ca      |      5.28989     |
| Fe      |      3.74237     |
| K       |     16.0106      |
| Mg      |      1.05207     |
| Mn      |      8.58752     |
| Na      |      2.30529     |
| S       |    950.508       |
| Si      |      0.91606     |
| Ti      |      4.298       |
| As      |   1253.71        |
| Cd      |  12307.8         |
| Cr      |     59.6418      |
| Cu      |    273.447       |
| Ni      |    360.673       |
| Pb      |    255.161       |
| Se      |   7074.56        |
| Sn      |    414.223       |
| V       |    255.161       |
| Zn      |   1018.63        |
| Ba      |     17.1581      |
| Bi      |   8707.22        |
| Co      |     36.7392      |
| Cs      |    772.281       |
| La      |    255.161       |
| Mo      |    222.174       |
| Pd      |      1.67668e+06 |
| Pt      |  13189.9         |
| Rb      |      3.25856     |
| Sb      |  10716.7         |
| Sc      |     48.4586      |
| Sr      |      2.64756     |
| Th      |     78.6668      |
| U       |    314.047       |
| W       |   2035.25        |
| Y       |     16.0106      |
| Ca      |      3.74237     |
| Fe      |      2.30529     |
| K       |      4.01057     |
| Mg      |      1.00463     |
| Mn      |      4.298       |
| Na      |      1.07662     |
| S       |    772.281       |
| Si      |      0.727317    |
| Ti      |      3.04065     |
| As      |    772.281       |
| Cd      |   7581.58        |
| Cr      |     84.3047      |
| Cu      |    119.166       |
| Ni      |    585.511       |
| Pb      |    157.178       |
| Se      |   5004.94        |
| Sn      |    293.045       |
| V       |    443.91        |
| Zn      |    886.943       |
| Ba      |     14.9399      |
| Bi      |   4357.91        |
| Co      |     21.1178      |
| Cs      |    475.724       |
| La      |    127.706       |
| Mo      |    146.667       |
| Pd      |      1.03283e+06 |
| Pt      |  10716.7         |
| Rb      |      1.74777     |
| Sb      |   7581.58        |
| Sc      |     31.9897      |
| Sr      |      2.30529     |
| Th      |     51.9315      |
| U       |    207.316       |
| W       |   1772.14        |
| Y       |      9.20297     |
