| Category        |   first quartile |        max |     median |      min |   third quartile | x   |
| Number of calls |        65.3631   | 246.369    | 113.727    | 16.5204  |       146.768    | M   |
| Number of calls |        69.1939   | 230.567    | 112.291    |  1.67598 |       141.022    | Tu  |
| Number of calls |        66.7997   | 195.251    | 105.587    | 47.1668  |       133.36     | W   |
| Number of calls |        61.5323   | 130.008    |  72.5459   | 17.9569  |        93.6153   | Th  |
| Number of calls |        45.7302   | 111.812    |  61.0535   | 11.253   |        76.3767   | F   |
| Number of calls |        17.4781   |  55.7861   |  25.6185   |  9.81644 |        34.2378   | Sa  |
| Number of calls |        18.4358   |  46.6879   |  25.6185   |  9.33759 |        37.1109   | Su  |
| TARP for Quit   |        -1.19713  | 131.923    |  29.4493   | -2.15483 |        65.3631   | M   |
| TARP for Quit   |        -0.718276 | 120.91     |  27.5339   | -1.67598 |        56.265    | Tu  |
| TARP for Quit   |        -1.19713  |  73.9824   |  16.9992   | -2.63368 |        37.1109   | W   |
| TARP for Quit   |        -1.19713  |   0.239425 |  -0.239425 | -2.63368 |         0.239425 | Th  |
| TARP for Quit   |        -2.63368  |   0.239425 |  -2.15483  | -2.63368 |        -0.718276 | F   |
| TARP for Quit   |        -1.67598  |   1.19713  |  -0.718276 | -1.67598 |        -0.239425 | Sa  |
| TARP for Quit   |        -1.67598  |   1.67598  |  -0.239425 | -2.63368 |        -0.239425 | Su  |
| TARP for NRT    |        -1.67598  |  60.0958   |  12.2107   | -2.15483 |        26.0974   | M   |
| TARP for NRT    |        -1.67598  |  32.3224   |   6.46449  | -2.15483 |        15.5626   | Tu  |
| TARP for NRT    |        -2.15483  |  30.8859   |   4.07023  | -2.15483 |        14.1261   | W   |
| TARP for NRT    |        -1.67598  |  43.336    |   7.90104  | -2.63368 |        17.4781   | Th  |
| TARP for NRT    |        -1.67598  |  36.6321   |   5.98563  | -2.63368 |        18.4358   | F   |
| TARP for NRT    |        -1.67598  |  23.7031   |   4.07023  | -2.63368 |         9.81644  | Sa  |
| TARP for NRT    |        -1.19713  |  45.2514   |   8.85874  | -1.67598 |        21.3089   | Su  |
