|   title |   Observe d (heritability = 0.2) |
|    1000 |                        0.313022  |
|    1500 |                        0.212096  |
|    2000 |                        0.160382  |
|    2500 |                        0.127019  |
|    3000 |                        0.107     |
|    3500 |                        0.0919867 |
|    4000 |                        0.0803094 |
|    4500 |                        0.0719685 |
|    5000 |                        0.0658518 |
|    1000 |                        0.31886   |
|    1500 |                        0.211262  |
|    2000 |                        0.160382  |
|    2500 |                        0.127019  |
|    3000 |                        0.107     |
|    3500 |                        0.0919867 |
|    4000 |                        0.0803094 |
|    4500 |                        0.0719685 |
|    5000 |                        0.0652957 |
|    1000 |                        0.322197  |
|    1500 |                        0.207648  |
|    2000 |                        0.157046  |
|    2500 |                        0.126185  |
|    3000 |                        0.103664  |
|    3500 |                        0.0894845 |
|    4000 |                        0.0794753 |
|    4500 |                        0.0703003 |
|    5000 |                        0.0636275 |
|    1000 |                        0.317192  |
|    1500 |                        0.212096  |
|    2000 |                        0.158714  |
|    2500 |                        0.127019  |
|    3000 |                        0.106166  |
|    3500 |                        0.0911526 |
|    4000 |                        0.0803094 |
|    4500 |                        0.0711344 |
|    5000 |                        0.0644616 |
