| title     |   Control(n=5) |
| NM_007408 |       0.934274 |
| NM_007744 |       1.05018  |
| NM_008453 |       0.963249 |
| NM_008764 |       0.934274 |
| NM_009243 |       0.934274 |
| NM_009536 |       0.934274 |
| NM_009735 |       0.934274 |
| NM_009804 |       0.934274 |
| NM_010499 |       0.934274 |
| NM_011660 |       0.934274 |
| NM_011673 |       0.934274 |
| NM_013474 |       0.934274 |
| NM_023184 |       0.992225 |
| NM_025287 |       0.934274 |
| NM_007408 |       4.78798  |
| NM_007744 |       3.11466  |
| NM_008453 |       2.40477  |
| NM_008764 |       6.56272  |
| NM_009243 |       1.64417  |
| NM_009536 |      16.9069   |
| NM_009735 |       2.40477  |
| NM_009804 |       4.58516  |
| NM_010499 |      19.9493   |
| NM_011660 |       4.83869  |
| NM_011673 |       5.83834  |
| NM_013474 |      19.9493   |
| NM_023184 |       4.33162  |
| NM_025287 |       0.630034 |
