|   title |   Single-SNP |
|       1 |      1.04986 |
|       2 |      1.05902 |
|       3 |      1.05097 |
|       4 |      1.04737 |
|       5 |      1.07151 |
|       6 |      1.07095 |
|       7 |      1.04986 |
|       8 |      1.07706 |
|       9 |      1.11035 |
|      10 |      1.13144 |
|      11 |      1.03821 |
|      12 |      1.10813 |
|      13 |      1.01768 |
|      14 |      1.07153 |
|      15 |      1.07065 |
|      16 |      1.13533 |
|      17 |      1.03136 |
|      18 |      1.07706 |
|      19 |      1.13644 |
|      20 |      1.03155 |
|      21 |      1.09981 |
|      22 |      1.00325 |
|       1 |      1.09426 |
|       2 |      1.11313 |
|       3 |      1.11257 |
|       4 |      1.09648 |
|       5 |      1.11812 |
|       6 |      1.11535 |
|       7 |      1.08427 |
|       8 |      1.07484 |
|       9 |      1.16418 |
|      10 |      1.15086 |
|      11 |      1.08815 |
|      12 |      1.09426 |
|      13 |      1.1098  |
|      14 |      1.06596 |
|      15 |      1.08871 |
|      16 |      1.12534 |
|      17 |      1.07373 |
|      18 |      1.07317 |
|      19 |      1.08704 |
|      20 |      1.10036 |
|      21 |      1.08982 |
|      22 |      1.11646 |
|       1 |      1.08593 |
|       2 |      1.09981 |
|       3 |      1.0937  |
|       4 |      1.07983 |
|       5 |      1.11216 |
|       6 |      1.09537 |
|       7 |      1.07761 |
|       8 |      1.06152 |
|       9 |      1.12867 |
|      10 |      1.13283 |
|      11 |      1.08483 |
|      12 |      1.08815 |
|      13 |      1.09731 |
|      14 |      1.07595 |
|      15 |      1.08566 |
|      16 |      1.10397 |
|      17 |      1.05486 |
|      18 |      1.07817 |
|      19 |      1.09093 |
|      20 |      1.09925 |
|      21 |      1.09129 |
|      22 |      1.10794 |
|       1 |      1.06152 |
|       2 |      1.06734 |
|       3 |      1.07012 |
|       4 |      1.05486 |
|       5 |      1.07095 |
|       6 |      1.0654  |
|       7 |      1.06152 |
|       8 |      1.04986 |
|       9 |      1.08538 |
|      10 |      1.0987  |
|      11 |      1.05985 |
|      12 |      1.05624 |
|      13 |      1.05597 |
|      14 |      1.04265 |
|      15 |      1.06207 |
|      16 |      1.06596 |
|      17 |      1.04542 |
|      18 |      1.06263 |
|      19 |      1.0593  |
|      20 |      1.05541 |
|      21 |      1.07819 |
|      22 |      1.07553 |
