| title   |   Coal Fly Ash Low |
| Al      |        1           |
| As      |        0.00264618  |
| Ba      |        0.0334048   |
| Cd      |        6.36167e-05 |
| Co      |        0.0016605   |
| Cr      |        0.00577969  |
| Cu      |        0.00334048  |
| Mo      |        0.000357743 |
| Ni      |        0.00464159  |
| Pb      |        0.014678    |
| Sb      |        0.00163789  |
| Se      |        0.000729617 |
| V       |        0.00760243  |
| Zn      |        0.0131537   |
| Al      |        1           |
| As      |        0.000334048 |
| Ba      |        0.00503942  |
| Cd      |        2.21431e-05 |
| Co      |        0.000451608 |
| Cr      |        0.001       |
| Cu      |        0.000547136 |
| Mo      |        7.19686e-05 |
| Ni      |        0.00108571  |
| Pb      |        0.000896151 |
| Sb      |        2.15443e-05 |
| Se      |        4.70564e-05 |
| V       |        0.00338658  |
| Zn      |        0.000921055 |
