| Category   |   first quartile |     max |   median |        min |   third quartile | x        |
| < 100 000  |          4.83133 | 20.0972 |  8.77644 |  0.921955  |         11.0063  | T1ADay1  |
| < 100 000  |          3.00172 | 25.0143 |  7.004   | -0.0643225 |         11.9783  | TIA Day2 |
| < 100 000  |          4.94568 | 17.0669 |  7.91881 | -0.0214408 |         10.0915  | T1B Day1 |
| < 100 000  |          3.00172 | 15.0658 |  6.03202 | -0.0214408 |          8.94797 | T1B Day2 |
| < 100 000  |          4.03087 | 18.0389 |  8.03316 |  0.879074  |         11.0635  | T2       |
| < 100 000  |          3.00172 | 17.0097 |  6.03202 | -0.0643225 |         12.0926  | T3       |
| < 100 000  |          3.9737  | 27.0726 |  7.51858 |  1.90823   |         14.0938  | T5       |
| >=100 000  |          9.00515 | 25.0143 | 10.9491  |  0.921955  |         17.0097  | T1ADay1  |
| >=100 000  |          6.88965 | 26.0435 | 11.0063  |  1.90823   |         17.5243  | TIA Day2 |
| >=100 000  |          7.91881 | 24.0423 | 10.0343  |  1.90823   |         15.0086  | T1B Day1 |
| >=100 000  |          5.97484 | 26.0435 | 10.0343  | -0.0214408 |         15.0658  | T1B Day2 |
| >=100 000  |          7.91881 | 24.9571 | 12.0354  | -0.0214408 |         17.1812  | T2       |
| >=100 000  |          6.94683 | 25.0143 | 12.0926  |  1.95111   |         15.9806  | T3       |
| >=100 000  |          7.06118 | 21.012  | 11.4637  |  1.90823   |         14.0366  | T5       |
