|   title |   Neutral |
|   0.001 |  0.219347 |
|   0.005 |  0.48198  |
|   0.01  |  0.715432 |
|   0.05  |  2.43714  |
|   0.1   |  4.18803  |
|   0.001 |  0.554934 |
|   0.005 |  1.26988  |
|   0.01  |  1.95564  |
|   0.05  |  4.97593  |
|   0.1   |  7.17913  |
|   0.001 |  0.627888 |
|   0.005 |  1.47415  |
|   0.01  |  2.1891   |
|   0.05  |  5.09265  |
|   0.1   |  7.25208  |
|   0.001 |  0.569525 |
|   0.005 |  1.29906  |
|   0.01  |  1.94105  |
|   0.05  |  4.77166  |
|   0.1   |  6.88731  |
|   0.001 |  0.525753 |
|   0.005 |  1.26988  |
|   0.01  |  1.95564  |
|   0.05  |  4.94674  |
|   0.1   |  7.16453  |
|   0.001 |  0.584116 |
|   0.005 |  1.51792  |
|   0.01  |  2.23287  |
|   0.05  |  5.06347  |
|   0.1   |  7.29585  |
|   0.001 |  0.554934 |
|   0.005 |  1.29906  |
|   0.01  |  1.92646  |
|   0.05  |  4.83002  |
|   0.1   |  7.10617  |
|   0.001 |  0.540343 |
|   0.005 |  1.25529  |
|   0.01  |  1.83892  |
|   0.05  |  4.71329  |
|   0.1   |  6.96026  |
|   0.001 |  0.598706 |
|   0.005 |  1.34283  |
|   0.01  |  2.01401  |
|   0.05  |  5.1802   |
|   0.1   |  7.48553  |
