|   title |   hypertensives |
|       0 |       0.119239  |
|      10 |       0.215141  |
|      20 |       0.20991   |
|      30 |       0.15295   |
|      40 |       0.136675  |
|      50 |       0.097152  |
|      60 |       0.0709968 |
|      70 |       0.0070619 ||       0 |       0.247399  |
|      10 |       0.215141  |
|      20 |       0.183755  |
|      30 |       0.137547  |
|      40 |       0.114879  |
|      50 |       0.0616972 |
|      60 |       0.0337983 |
|      70 |       0.0070619 |
