|   title |         % |
|     0   |   2.89914 |
|     0.5 |   1.60162 |
|     1   |   9.38672 |
|     1.5 |   9.06234 |
|     2   |   9.7111  |
|     2.5 |  12.4683  |
|     3   |   7.44045 |
|     3.5 |  14.5768  |
|     4   |  10.0355  |
|     4.5 |  12.6305  |
|     5   |   9.06234 |
|     5.5 |   3.5479  |
|     6   |   5.81855 |
|     0   |   3.5479  |
|     0.5 |   2.57476 |
|     1   |  11.333   |
|     1.5 |  20.4156  |
|     2   |  28.9306  |
|     2.5 |  41.4192  |
|     3   |  48.2311  |
|     3.5 |  61.855   |
|     4   |  70.9377  |
|     4.5 |  82.8586  |
|     5   |  91.9412  |
|     5.5 |  94.7795  |
|     6   | 100.456   |
