|    title |      SLB |
|  0       | 100.235  |
|  1.17188 |  97.0299 |
|  2.34375 |  94.7863 |
|  4.6875  |  91.2607 |
|  9.375   |  86.1325 |
| 18.75    |  79.7222 |
| 37.5     |  66.2607 |
|  0       | 100.235  |
|  1.17188 |  64.9786 |
|  2.34375 |  64.9786 |
|  4.6875  |  63.0556 |
|  9.375   |  58.2479 |
| 18.75    |  50.8761 |
| 37.5     |  47.0299 |
|  0       | 100.235  |
|  1.17188 |  59.8504 |
|  2.34375 |  55.0427 |
|  4.6875  |  48.312  |
|  9.375   |  49.594  |
| 18.75    |  46.3889 |
| 37.5     |  39.9786 |
