|   title |   Wholly in transcript(s) |
|       0 |                   5.7232  |
|       1 |                   7.80437 |
|       2 |                   9.53867 |
|       3 |                  13.701   |
|       4 |                  13.3541  |
|       5 |                  18.2102  |
|       6 |                  24.8006  |
|       7 |                  27.5754  |
|       8 |                  40.4093  |
|       9 |                  53.9369  |
|      10 |                  62.6084  |
|      11 |                  69.5456  |
|      12 |                  74.7485  |
|      13 |                  83.42    |
|      14 |                  88.2761  |
|      15 |                  92.4384  |
|      16 |                  97.2945  |
|      17 |                  99.3757  |
|      18 |                 101.11    |
|      19 |                 102.844   |
|      20 |                 102.497   |
|      21 |                 103.538   |
|      22 |                 104.405   |
|      23 |                 103.711   |
|      24 |                 104.058   |
|      25 |                 104.058   |
|       0 |                   2.2546  |
|       1 |                   9.88554 |
|       2 |                  17.1696  |
|       3 |                  20.6382  |
|       4 |                  39.3687  |
|       5 |                  47.3465  |
|       6 |                  61.9147  |
|       7 |                  85.8481  |
|       8 |                 128.512   |
|       9 |                 162.504   |
|      10 |                 204.128   |
|      11 |                 229.448   |
|      12 |                 263.788   |
|      13 |                 284.599   |
|      14 |                 305.411   |
|      15 |                 326.57    |
|      16 |                 342.872   |
|      17 |                 354.665   |
|      18 |                 368.887   |
|      19 |                 377.211   |
|      20 |                 384.148   |
|      21 |                 387.617   |
|      22 |                 390.565   |
|      23 |                 392.993   |
|      24 |                 392.3     |
|      25 |                 391.953   |
