| title   |      ADD_i |
| 23-27   |  5.74512   |
| 28-32   | 30.862     |
| 33-37   | 25.088     |
| 38-42   | 21.0462    |
| 43-47   | 10.0756    |
| 48-52   |  7.76602   |
| 53-57   |  0.177344  |
| 68-62   |  0.177344  |
| 62+     |  0.0948584 |
| 23-27   | 19.1696    |
| 28-32   | 32.7385    |
| 33-37   | 28.9854    |
| 38-42   |  5.74512   |
| 43-47   |  9.64256   |
| 48-52   |  3.86857   |
| 53-57   |  0.177344  |
| 68-62   |  0.0948584 |
| 62+     |  0.0948584 |
| 23-27   |  1.27028   |
| 28-32   |  6.32252   |
| 33-37   | 15.1279    |
| 38-42   | 17.7261    |
| 43-47   | 21.4792    |
| 48-52   | 16.427     |
| 53-57   | 11.3748    |
| 68-62   |  5.16772   |
| 62+     |  5.16772   |
| 23-27   |  2.42508   |
| 28-32   | 11.3748    |
| 33-37   | 24.0775    |
| 38-42   | 19.0253    |
| 43-47   | 19.0253    |
| 48-52   | 11.3748    |
| 53-57   |  6.32252   |
| 68-62   |  2.42508   |
| 62+     |  3.72422   |
