| title   |        HO |
| 1 kb    | 0.609562  |
| 5 Kb    | 0.523506  |
| 100 Kb  | 0.219124  |
| 500 Kb  | 0.104382  |
| 1Mb     | 0.0756972 |
| 2Mb     | 0.0693227 |
| 5Mb     | 0.0565737 |
| 7Mb     | 0.0533865 |
| 10 Mb   | 0.0517928 |
| 1 kb    | 0.576096  |
| 5 Kb    | 0.535458  |
| 100 Kb  | 0.198406  |
| 500 Kb  | 0.0788845 |
| 1Mb     | 0.0772908 |
| 2Mb     | 0.0693227 |
| 5Mb     | 0.0645418 |
| 7Mb     | 0.0533865 |
| 10 Mb   | 0.0517928 |
| 1 kb    | 0.550598  |
| 5 Kb    | 0.521912  |
| 100 Kb  | 0.211155  |
| 500 Kb  | 0.0804781 |
| 1Mb     | 0.0661355 |
| 2Mb     | 0.0565737 |
| 5Mb     | 0.0358566 |
| 7Mb     | 0.0342629 |
| 10 Mb   | 0.0247012 |
| 1 kb    | 0.534661  |
| 5 Kb    | 0.480478  |
| 100 Kb  | 0.169721  |
| 500 Kb  | 0.0693227 |
| 1Mb     | 0.0466135 |
| 2Mb     | 0.047012  |
| 5Mb     | 0.0454183 |
| 7Mb     | 0.0418327 |
| 10 Mb   | 0.0374502 |
| 1 kb    | 0.506773  |
| 5 Kb    | 0.408765  |
| 100 Kb  | 0.153785  |
| 500 Kb  | 0.0573705 |
| 1Mb     | 0.0549801 |
| 2Mb     | 0.0486056 |
| 5Mb     | 0.0438247 |
| 7Mb     | 0.0358566 |
| 10 Mb   | 0.0390438 |
| 1 kb    | 0.480478  |
| 5 Kb    | 0.444622  |
| 100 Kb  | 0.150598  |
| 500 Kb  | 0.0645418 |
| 1Mb     | 0.0454183 |
| 2Mb     | 0.0406375 |
| 5Mb     | 0.0326693 |
| 7Mb     | 0.0294821 |
| 10 Mb   | 0.0310757 |
| 1 kb    | 0.408765  |
| 5 Kb    | 0.3251    |
| 100 Kb  | 0.187251  |
| 500 Kb  | 0.10757   |
| 1Mb     | 0.0964143 |
| 2Mb     | 0.0804781 |
| 5Mb     | 0.0645418 |
| 7Mb     | 0.0549801 |
| 10 Mb   | 0.0533865 |
| 1 kb    | 0.286853  |
| 5 Kb    | 0.296414  |
| 100 Kb  | 0.131474  |
| 500 Kb  | 0.059761  |
| 1Mb     | 0.0501992 |
| 2Mb     | 0.0438247 |
| 5Mb     | 0.0406375 |
| 7Mb     | 0.0370518 |
| 10 Mb   | 0.0346614 |
