| title   |   CO 40 ppm |
| A       |  1.30596    |
| B       |  1.30596    |
| C       |  1.15186    |
| D       |  1.15186    |
| E       |  1.15186    |
| F       |  1.15186    |
| G       |  1.30596    |
| A       |  1.92234    |
| B       |  1.76824    |
| C       |  1.46005    |
| D       |  2.23053    |
| E       |  1.61415    |
| F       |  2.53872    |
| G       |  2.15348    |
| A       |  3.61738    |
| B       |  6.0829     |
| C       | 10.8599     |
| D       | 19.1039     |
| E       | 15.6368     |
| F       | 30.507      |
| G       | 44.3755     |
| A       |  0.0731952  |
| B       | -0.00385238 |
| C       |  2.84691    |
| D       |  2.46167    |
| E       |  3.92557    |
| F       |  2.69281    |
| G       |  2.46167    |
