|   title |         All |
|       0 | 0.0399047   |
|       1 | 0.0700025   |
|       2 | 0.0752696   |
|       3 | 0.130198    |
|       4 | 0.105367    |
|       5 | 0.20469     |
|       6 | 0.164811    |
|       7 | 0.0797843   |
|       8 | 0.1001      |
|       9 | 0.0248558   |
|      10 | 0.00604465  |
|       0 | 0.000777527 |
|       1 | 0.0135691   |
|       2 | 0.000777527 |
|       3 | 0.0399047   |
|       4 | 0.0534487   |
|       5 | 0.266391    |
|       6 | 0.240055    |
|       7 | 0.159544    |
|       8 | 0.173088    |
|       9 | 0.0399047   |
|      10 | 0.0135691   |
|       0 | 0.0639829   |
|       1 | 0.103863    |
|       2 | 0.119664    |
|       3 | 0.183622    |
|       4 | 0.136218    |
|       5 | 0.16782     |
|       6 | 0.119664    |
|       7 | 0.0323802   |
|       8 | 0.055706    |
|       9 | 0.0158264   |
|      10 | 0.000777527 |
