| title   |   2014 (793 maneuvers performed) |
| OP4     |                         0.69329  |
| OP1     |                         0.720838 |
| OP2     |                         0.530298 |
| OP7     |                         0.688699 |
| OP5     |                         0.500454 |
| OP6     |                         0.500454 |
| OP9     |                         0.509637 |
| OP3     |                         0.420106 |
| OP4     |                         0.663446 |
| OP1     |                         0.541776 |
| OP2     |                         0.509637 |
| OP7     |                         0.424697 |
| OP5     |                         0.353532 |
| OP6     |                         0.227271 |
| OP9     |                         0.20661  |
| OP3     |                         0.153809 |
