|   title |   Total financial costs |
|    2010 |                 546.721 |
|    2011 |               73228.5   |
|    2012 |               91238.2   |
|    2013 |              110534     |
|    2014 |              131117     |
|    2015 |              152342     |
|    2016 |              155558     |
|    2017 |              160061     |
|    2018 |              164563     |
|    2019 |              169709     |
|    2010 |                 546.721 |
|    2011 |               59078.1   |
|    2012 |               71942.1   |
|    2013 |               86092.5   |
|    2014 |              102173     |
|    2015 |              118896     |
|    2016 |              121469     |
|    2017 |              124685     |
|    2018 |              129187     |
|    2019 |              133689     |
