|   title |     bare |
|       0 |  99.9015 |
|     200 | 105.517  |
|     400 | 104.631  |
|     600 | 104.926  |
|     800 | 101.97   |
|    1000 |  97.5369 ||       0 | 100.197  |
|     200 | 102.562  |
|     400 | 101.675  |
|     600 |  98.1281 |
|     800 |  97.5369 |
|    1000 |  97.8325 |
|       0 | 100.197  |
|     200 | 102.266  |
|     400 |  96.9458 |
|     600 |  96.6502 |
|     800 |  95.7635 |
|    1000 |  93.399  |
|       0 |  99.9015 |
|     200 | 101.084  |
|     400 | 100.493  |
|     600 | 102.857  |
|     800 |  99.3103 |
|    1000 |  97.5369 |
