| title   |   Deletion exons 3-6 |
| C3      |             1.10053  |
| 1       |             1.10053  |
| 2       |             1.10448  |
| 3       |             0.548888 |
| 4       |             0.513425 |
| 5       |             0.541008 |
| 6       |             0.509485 |
| 7       |             1.09265  |
| 8       |             1.01385  |
| 9       |             1.00597  |
| 11      |             1.1163   |
| 12      |             1.10448  |
| 14      |             1.1163   |
| 15      |             1.09659  |
| 16      |             1.09659  |
| 17      |             1.06901  |
| 18      |             1.04143  |
| C12     |             1.00597  |
| C3      |             1.00203  |
| 1       |             1.00597  |
| 2       |             1.02961  |
| 3       |             1.02961  |
| 4       |             0.978384 |
| 5       |             1.02567  |
| 6       |             0.966563 |
| 7       |             1.02173  |
| 8       |             0.986265 |
| 9       |             0.950802 |
| 11      |             1.02961  |
| 12      |             1.00597  |
| 14      |             0.998086 |
| 15      |             0.982325 |
| 16      |             1.00203  |
| 17      |             0.990205 |
| 18      |             0.966563 |
| C12     |             1.01385  |
