|   title |   Known cancer genes |
|       0 |             3.43717  |
|       1 |             2.98215  |
|       2 |             2.21211  |
|       3 |             1.02205  |
|       4 |             1.47707  |
|       5 |             1.47707  |
|       6 |             0.777039 |
|       7 |             0.777039 |
|       8 |             1.23206  |
|       9 |             0.777039 |
|      10 |             1.47707  |
|      11 |             1.47707  |
|      12 |             3.47217  |
|      13 |             3.33217  |
|      14 |             7.46237  |
|      15 |            11.5576   |
|      16 |            54.3997   |
|       0 |            13.5177   |
|       1 |             6.55233  |
|       2 |             3.15716  |
|       3 |             2.17711  |
|       4 |             1.89709  |
|       5 |             1.75709  |
|       6 |             1.47707  |
|       7 |             1.33707  |
|       8 |             1.47707  |
|       9 |             1.47707  |
|      10 |             1.75709  |
|      11 |             2.45712  |
|      12 |             2.87714  |
|      13 |             3.85719  |
|      14 |             6.51733  |
|      15 |             8.47742  |
|      16 |            37.1789   |
