|   title |    DBW D' |
|   0.001 | 0.798489  |
|   0.005 | 0.834109  |
|   0.1   | 0.545582  |
|   0.5   | 0.399537  |
|   1     | 0.360354  |
|   2     | 0.328296  |
|   5     | 0.310485  |
|   7     | 0.306923  |
|  10     | 0.296237  |
|  15     | 0.296237  |
|  20     | 0.278427  |
|  40     | 0.260616  |
|  80     | 0.257054  |
| 100     | 0.257054  |
|   0.001 | 0.937409  |
|   0.005 | 0.983716  |
|   0.1   | 0.695189  |
|   0.5   | 0.552706  |
|   1     | 0.499275  |
|   2     | 0.492151  |
|   5     | 0.463654  |
|   7     | 0.449406  |
|  10     | 0.428033  |
|  15     | 0.428033  |
|  20     | 0.406661  |
|  40     | 0.385289  |
|  80     | 0.37104   |
| 100     | 0.392413  |
|   0.001 | 0.477902  |
|   0.005 | 0.445844  |
|   0.1   | 0.14663   |
|   0.5   | 0.0616492 |
|   1     | 0.0453655 |
|   2     | 0.04333   |
|   5     | 0.0331527 |
|   7     | 0.0351882 |
|  10     | 0.0290817 |
|  15     | 0.0270463 |
|  20     | 0.0250108 |
|  40     | 0.0250108 |
|  80     | 0.0229753 |
| 100     | 0.0209399 |
|   0.001 | 0.609699  |
|   0.005 | 0.5237    |
|   0.1   | 0.220416  |
|   0.5   | 0.10643   |
|   1     | 0.0758975 |
|   2     | 0.0677556 |
|   5     | 0.0575783 |
|   7     | 0.047401  |
|  10     | 0.047401  |
|  15     | 0.0392591 |
|  20     | 0.0372236 |
|  40     | 0.0372236 |
|  80     | 0.0311172 |
| 100     | 0.0372236 |
