|   title |   Diarrhea |
|    2006 |   2262.63  |
|    2007 |   2559.6   |
|    2008 |   3549.49  |
|    2009 |   3874.75  |
|    2010 |   4200     |
|    2006 |    862.626 |
|    2007 |   1202.02  |
|    2008 |   1244.44  |
|    2009 |   1400     |
|    2010 |   1456.57  |
|    2006 |   1951.52  |
|    2007 |   2389.9   |
|    2008 |   3252.53  |
|    2009 |   3450.51  |
|    2010 |   4313.13  |
|    2006 |    537.374 |
|    2007 |    593.939 |
|    2008 |    636.364 |
|    2009 |    806.061 |
|    2010 |    763.636 |
|    2006 |   2870.71  |
|    2007 |   3422.22  |
|    2008 |   4737.37  |
|    2009 |   6165.66  |
|    2010 |   6490.91  |
