| title   |   Indication |
| 0-2     |   0.0336085  |
| 3-6     |   0.0365566  |
| 7-10    |   0.0430425  |
| 11-13   |   0.0442217  |
| 14-17   |   0.053066   |
| 0-2     |   0.0607311  |
| 3-6     |   0.0383255  |
| 7-10    |   0.0318396  |
| 11-13   |   0.0283019  |
| 14-17   |   0.00707547 |
| 0-2     |   0.0554245  |
| 3-6     |   0.0678066  |
| 7-10    |   0.0400943  |
| 11-13   |   0.0341981  |
| 14-17   |   0.0165094  |
| 0-2     |   0.117335   |
| 3-6     |   0.225236   |
| 7-10    |   0.215212   |
| 11-13   |   0.18691    |
| 14-17   |   0.148585   |
