| title   |   Unclassified |
| 1972-74 |       0        |
| 1982-84 |       0        |
| 1992-94 |       0        |
| 2002-04 |      14.1825   |
| 1972-74 |      14.7279   |
| 1982-84 |      15.8189   |
| 1992-94 |      22.3647   |
| 2002-04 |      20.7282   |
| 1972-74 |       5.81845  |
| 1982-84 |       2.091    |
| 1992-94 |       0.27274  |
| 2002-04 |       0.545479 |
| 1972-74 |       8.72767  |
| 1982-84 |       6.81849  |
| 1992-94 |       9.27315  |
| 2002-04 |       8.72767  |
| 1972-74 |      19.0918   |
| 1982-84 |      18.1826   |
| 1992-94 |      18.5463   |
| 2002-04 |      11.2732   |
| 1972-74 |      19.8191   |
| 1982-84 |      15.2734   |
| 1992-94 |      18.5463   |
| 2002-04 |       8.36402  |
| 1972-74 |      17.4553   |
| 1982-84 |      20.1827   |
| 1992-94 |      18.3645   |
| 2002-04 |      17.0917   |
| 1972-74 |       4.0911   |
| 1982-84 |       7.27306  |
| 1992-94 |       5.90936  |
| 2002-04 |       5.81845  |
| 1972-74 |       0.818219 |
| 1982-84 |       1.63644  |
| 1992-94 |       1.90918  |
| 2002-04 |       3.27288  |
| 1972-74 |       9.27315  |
| 1982-84 |      12.546    |
| 1992-94 |       4.90931  |
| 2002-04 |       9.81863  |
