|   title |   [HMIM][BF4] |
|     100 |       58.8544 |
|     200 |       68.9391 |
|     300 |       73.3764 |
|     400 |       77.4102 |
|     500 |       78.217  |
|     100 |       38.2816 |
|     200 |       56.434  |
|     300 |       61.8798 |
|     400 |       70.1493 |
|     500 |       81.2424 |
|     100 |       22.146  |
|     200 |       53.6103 |
|     300 |       60.4679 |
|     400 |       64.7035 |
|     500 |       73.5781 |
|     100 |       59.2578 |
|     200 |       65.3086 |
|     300 |       72.3679 |
|     400 |       72.973  |
|     500 |       79.4272 |
