| title   |   MODENA+IPknot |
| 21-40   |      93.9833    |
| 41-60   |      90.2808    |
| 61-80   |      66.2141    |
| 81-100  |      52.3295    |
| 101-120 |      29.9599    |
| 121-140 |      50.0154    |
| 141-160 |       0.0308547 |
| 161-180 |       0.185128  |
| 181-200 |       0.185128  || 21-40   |      86.1154    |
| 41-60   |      76.859     |
| 61-80   |      67.6026    |
| 81-100  |      57.112     |
| 101-120 |      59.8889    |
| 121-140 |      62.3573    |
| 141-160 |       0.185128  |
| 161-180 |       0.185128  |
| 181-200 |       0.185128  || 21-40   |      89.9722    |
| 41-60   |      78.7103    |
| 61-80   |      59.1176    |
| 81-100  |      33.3539    |
| 101-120 |       0.0308547 |
| 121-140 |       0.185128  |
| 141-160 |       0.0308547 |
| 161-180 |       0.0308547 |
| 181-200 |       0.185128  |
