|   title |   As-Cast |
|     0   |   338.147 |
|     0.1 |   339.7   |
|     0.2 |   312.514 |
|     0.3 |   338.535 |
|     0.4 |   303.192 |
|     0.5 |   310.96  |
|     0.6 |   331.933 |
|     0.7 |   321.835 |
|     0.8 |   328.826 |
|     0.9 |   317.951 |
|     1   |   321.058 |
|     0   |   334.263 |
|     0.1 |   344.879 |
|     0.2 |   339.7   |
|     0.3 |   339.312 |
|     0.4 |   351.74  |
|     0.5 |   356.4   |
|     0.6 |   335.04  |
|     0.7 |   373.36  |
|     0.8 |   365.074 |
|     0.9 |   403.006 |
|     1   |   357.954 |
|     0   |   381.257 |
|     0.1 |   388.636 |
|     0.2 |   376.208 |
|     0.3 |   398.734 |
|     0.4 |   373.878 |
|     0.5 |   407.278 |
|     0.6 |   387.082 |
|     0.7 |   421.519 |
|     0.8 |   367.664 |
|     0.9 |   349.41  |
|     1   |   337.37  |
