| title   |   Physical |
| 45-54   |    8.84701 |
| 55-64   |    8.38137 |
| 65-74   |    7.76053 |
| 75-84   |    6.82927 |
| 85%     |    5.58758 |
| 45-54   |    9.15743 |
| 55-64   |    9.31264 |
| 65-74   |    8.38137 |
| 75-84   |    7.76053 |
| 85%     |    6.98448 |
| 45-54   |    5.58758 |
| 55-64   |    5.43237 |
| 65-74   |    4.96674 |
| 75-84   |    4.50111 |
| 85%     |    3.88027 |
| 45-54   |    6.98448 |
| 55-64   |    6.98448 |
| 65-74   |    7.13969 |
| 75-84   |    7.13969 |
| 85%     |    7.13969 |
