|    title |     SLB |
|  0       | 99.6575 |
|  1.17188 | 97.8931 |
|  2.34375 | 97.9969 |
|  4.6875  | 96.1287 |
|  9.375   | 88.0332 |
| 18.75    | 80.768  |
| 37.35    | 78.8998 |
|  0       | 99.6575 |
|  1.17188 | 63.7468 |
|  2.34375 | 66.2377 |
|  4.6875  | 69.1437 |
|  9.375   | 67.2756 |
| 18.75    | 58.1422 |
| 37.35    | 49.6316 |
|  0       | 99.6575 |
|  1.17188 | 69.1437 |
|  2.34375 | 64.7846 |
|  4.6875  | 62.2937 |
|  9.375   | 62.2937 |
| 18.75    | 63.124  |
| 37.35    | 53.7831 |
