|   title |    Noise |
|      10 |  5.08013 |
|       9 |  2.68409 |
|       8 |  7.31905 |
|       7 |  8.81167 |
|       6 |  7.75113 |
|       5 | 13.0931  |
|       4 |  8.96879 |
|       3 | 12.3861  |
|       2 | 11.5612  |
|       1 |  6.25851 |
|       0 | 16.1962  |
|      10 |  3.58751 |
|       9 |  1.74138 |
|       8 |  6.06211 |
|       7 |  7.0441  |
|       6 |  6.72986 |
|       5 | 12.5825  |
|       4 |  9.83293 |
|       3 | 13.0146  |
|       2 | 11.0899  |
|       1 |  6.80842 |
|       0 | 21.6167  |
