| title    |   INERA vs Temperature |
| 0-0.05   |            182.106     |
| 0.05-0.1 |            181.094     |
| 0.1-0.15 |            144.684     |
| 0.15     |            150.752     |
| 0.2-0.25 |             85.0103    |
| 0.25-0.3 |             92.0901    |
| 0.3-0.35 |             57.7021    |
| 0.35-0.4 |             54.6679    |
| 0.4-0.45 |             26.3484    |
| 0.45-0.5 |             37.4739    |
| 0.5-0.55 |             19.2685    |
| 0.55-0.6 |             11.1772    |
| 0.6-0.65 |              3.08594   |
| 0.65-0.7 |              1.06312   |
| 0.7-0.75 |              1.06312   || 0-0.05   |            292.35      |
| 0.05-0.1 |            199.3       |
| 0.1-0.15 |            159.855     |
| 0.15     |            114.341     |
| 0.2-0.25 |             80.9646    |
| 0.25-0.3 |             57.7021    |
| 0.3-0.35 |             46.5766    |
| 0.35-0.4 |             40.5082    |
| 0.4-0.45 |             16.2343    |
| 0.45-0.5 |             23.3142    |
| 0.5-0.55 |              7.13159   |
| 0.55-0.6 |              5.10876   |
| 0.6-0.65 |              1.06312   |
| 0.65-0.7 |              1.06312   |
| 0.7-0.75 |              1.06312   || 0-0.05   |            297.407     |
| 0.05-0.1 |            216.494     |
| 0.1-0.15 |            152.775     |
| 0.15     |            138.615     |
| 0.2-0.25 |             79.9532    |
| 0.25-0.3 |             58.7136    |
| 0.3-0.35 |             49.6109    |
| 0.35-0.4 |             21.2913    |
| 0.4-0.45 |             15.2229    |
| 0.45-0.5 |             13.2001    |
| 0.5-0.55 |              5.10876   |
| 0.55-0.6 |              0.0517064 |
| 0.6-0.65 |              1.06312   |
| 0.65-0.7 |              1.06312   |
| 0.7-0.75 |              1.06312   |
