|   title |   Most people would do it |
|       1 |                  98.1481  |
|       2 |                   1.23457 |
|       3 |                   4.73251 |
|       4 |                   6.99588 |
|       5 |                  47.9424  |
|       1 |                   1.02881 |
|       2 |                   3.7037  |
|       3 |                  19.9588  |
|       4 |                  80.4527  |
|       5 |                  50.4115  |
|       1 |                   1.02881 |
|       2 |                  95.2675  |
|       3 |                  75.9259  |
|       4 |                  13.3745  |
|       5 |                   2.26337 |
