| title   |       MATa |
| 0~5     |  3.03764   |
| 5~10    | 10.0443    |
| 10~15   | 12.0281    |
| 15~20   |  8.0605    |
| 20~25   |  2.03869   |
| 25~30   |  4.97925   |
| 30~35   |  7.04749   |
| 35~40   |  1.05382   |
| 40~45   |  0.0830109 |
| 45~50   |  0.0830109 |
| 0~5     |  0.0689413 |
| 5~10    |  0.040802  |
| 10~15   |  1.05382   |
| 15~20   |  7.04749   |
| 20~25   | 11.0151    |
| 25~30   |  8.0605    |
| 30~35   | 11.0151    |
| 35~40   |  6.03447   |
| 40~45   |  3.07985   |
| 45~50   |  1.05382   |
