|   title |   Dye degradation |
|       3 |          0.373599 |
|       4 |         90.66     |
|       5 |          0.373599 |
|       6 |         77.8954   |
|       7 |          0.373599 |
|       8 |          0.373599 |
|       9 |          0.373599 |
|      10 |         61.3948   |
|      11 |          0.373599 ||       3 |          0.373599 |
|       4 |         98.4433   |
|       5 |          0.373599 |
|       6 |         88.4807   |
|       7 |          0.373599 |
|       8 |          0.373599 |
|       9 |          0.373599 |
|      10 |         72.2914   |
|      11 |          0.373599 |
