| title   |   Bay-O |
| HIF100  | 454.39  |
| HIF408  | 463.496 |
| HIF144  | 421.61  |
| HIF416  | 529.967 |
| HIF192  | 406.13  |
| HIF404  | 478.065 |
| HIF 11  | 366.976 |
| HIF203  | 416.146 |
| HIF 367 | 441.642 |
| HIF 143 | 442.098 |
| HIF 181 | 354.683 |
| HIF312  | 424.341 |
| HIF 90  | 377.902 |
| HIF 397 | 440.732 |
| HIF 48  | 428.439 |
| HIF108  | 463.496 |
| HIF100  | 440.732 |
| HIF408  | 445.285 |
| HIF144  | 440.732 |
| HIF416  | 440.732 |
| HIF192  | 433.447 |
| HIF404  | 488.081 |
| HIF 11  | 387.919 |
| HIF203  | 438.911 |
| HIF 367 | 463.496 |
| HIF 143 | 448.016 |
| HIF 181 | 389.74  |
| HIF312  | 439.821 |
| HIF 90  | 398.846 |
| HIF 397 | 455.301 |
| HIF 48  | 416.146 |
| HIF108  | 427.984 |
