|   title |   1 wt% |
|      15 | 88.316  |
|      20 | 86.4189 |
|      25 | 85.1409 |
|      30 | 85.4604 |
|      35 | 84.6616 |
|      15 | 86.3191 |
|      20 | 85.5203 |
|      25 | 83.3836 |
|      30 | 84.1824 |
|      35 | 83.5234 |
|      15 | 84.3222 |
|      20 | 85.5203 |
|      25 | 83.5234 |
|      30 | 84.3222 |
|      35 | 82.1056 |
|      15 | 85.5203 |
|      20 | 84.7215 |
|      25 | 82.7247 |
|      30 | 83.9228 |
|      35 | 80.3284 |
|      15 | 82.3253 |
|      20 | 83.5434 |
|      25 | 81.4666 |
|      30 | 83.5234 |
|      35 | 79.1302 |
