|   title |   Food Poisoning |
|    2001 |        2525.36   |
|    2002 |        3159.56   |
|    2003 |        3582.36   |
|    2004 |        3688.06   |
|    2005 |        3476.66   |
|    2006 |        3423.81   |
|    2007 |        3582.36   |
|    2008 |        3503.08   |
|    2001 |         411.35   |
|    2002 |         622.751  |
|    2003 |         834.151  |
|    2004 |        1045.55   |
|    2005 |        1239.34   |
|    2006 |        1230.53   |
|    2007 |        1186.49   |
|    2008 |         904.618  |
|    2001 |          41.3993 |
|    2002 |          41.3993 |
|    2003 |         182.333  |
|    2004 |         164.716  |
|    2005 |         129.483  |
|    2006 |         111.866  |
|    2007 |         147.1    |
|    2008 |         129.483  |
|    2001 |         111.866  |
|    2002 |         226.375  |
|    2003 |         358.5    |
|    2004 |         411.35   |
|    2005 |         332.075  |
|    2006 |         279.225  |
|    2007 |         199.95   |
|    2008 |         226.375  |
|    2001 |         288.033  |
|    2002 |         569.901  |
|    2003 |         781.301  |
|    2004 |         543.476  |
|    2005 |         464.2    |
|    2006 |         270.417  |
|    2007 |         252.8    |
|    2008 |         596.326  |
|    2001 |        3899.46   |
|    2002 |        4930.04   |
|    2003 |        5722.79   |
|    2004 |        5458.54   |
|    2005 |        4850.76   |
|    2006 |        4612.94   |
|    2007 |        4586.51   |
|    2008 |        6541.97   |
|    2001 |        4454.39   |
|    2002 |        4093.24   |
|    2003 |        5079.78   |
|    2004 |        4339.88   |
|    2005 |        5299.99   |
|    2006 |        4692.21   |
|    2007 |        4771.49   |
|    2008 |        3740.91   |
|    2001 |         966.277  |
|    2002 |         490.625  |
|    2003 |        1256.95   |
|    2004 |         569.901  |
|    2005 |         437.775  |
|    2006 |         490.625  |
|    2007 |         384.925  |
|    2008 |        1970.43   |
|    2001 |         781.301  |
|    2002 |         464.2    |
|    2003 |         728.451  |
|    2004 |         939.852  |
|    2005 |         622.751  |
|    2006 |          41.3993 |
|    2007 |         270.417  |
|    2008 |         147.1    |
|    2001 |         270.417  |
|    2002 |         235.183  |
|    2003 |         569.901  |
|    2004 |         305.65   |
|    2005 |          41.3993 |
|    2006 |         464.2    |
|    2007 |         393.733  |
|    2008 |        2366.81   |
