| title   |         a |
| SXI1/2  | 3.68041   |
| CAP1    | 1.5836    |
| SPO14   | 2.25999   |
| RPL22   | 3.1393    |
| STE3    | 7.23145   |
| ZNF1    | 1.65124   |
| ETF1    | 0.0279025 |
| MF      | 9.90996   |
| PRT1    | 2.86874   |
| MYO2    | 0.0279025 |
| STE20   | 1.07631   |
| STE11   | 1.61742   |
| LPD1    | 4.44135   |
| RUM1    | 2.36145   |
| RPL39   | 4.74572   |
| STE12   | 3.42676   |
| IKS1    | 0.16318   || SXI1/2  | 3.22384   |
| CAP1    | 2.61509   |
| SPO14   | 1.29613   |
| RPL22   | 3.37603   |
| STE3    | 4.44135   |
| ZNF1    | 1.49905   |
| ETF1    | 1.14395   |
| MF      | 7.4851    |
| PRT1    | 2.91947   |
| MYO2    | 1.49905   |
| STE20   | 0.991758  |
| STE11   | 1.2454    |
| LPD1    | 2.20926   |
| RUM1    | 1.54978   |
| RPL39   | 4.39062   |
| STE12   | 1.44832   |
| IKS1    | 0.16318   |
