|   title |      May |
|    2005 | 150.616  |
|    2006 | 140.473  |
|    2005 |  99.9034 |
|    2006 | 133.712  |
|    2005 | 248.66   |
|    2006 | 279.087  |
|    2005 | 120.188  |
|    2006 | 208.09   |
|    2005 |  99.9034 |
|    2006 | 262.183  |
|    2005 | 218.232  |
|    2006 | 471.794  |
|    2005 | 164.139  |
|    2006 | 245.279  |
|    2005 | 160.758  |
|    2006 | 414.32   |
|    2005 | 323.038  |
|    2006 | 661.121  |
|    2005 | 170.901  |
|    2006 | 265.564  |
|    2005 | 177.662  |
|    2006 | 292.61   |
|    2005 | 346.704  |
|    2006 | 556.315  |
