| title   |   within the first 20 \mu m |
| #1      |                     5.2459  |
| #2      |                    22.582   |
| #3      |                    17.0492  |
| #5      |                     7.09016 |
| #7      |                    27.0082  |
| #8      |                    17.418   |
| #9      |                    54.6721  |
| #10     |                    20.7377  |
| #11     |                    37.7049  |
| #1      |                     8.93443 |
| #2      |                    34.7541  |
| #3      |                    22.9508  |
| #5      |                    22.582   |
| #7      |                    32.541   |
| #8      |                    26.6393  |
| #9      |                    61.6803  |
| #10     |                    27.0082  |
| #11     |                    45.4508  |
