| title     |   Number of publications |
| 1970-1979 |                4.08175   |
| 1980-1989 |               10.986     |
| 1990-1999 |               18.9753    |
| 2000-2009 |               16.0163    |
| 2010-2013 |                2.99679   |
| 1970-1979 |                4.08175   |
| 1980-1989 |               10.0983    |
| 1990-1999 |               16.8054    |
| 2000-2009 |               12.071     |
| 2010-2013 |                1.02414   |
| 1970-1979 |                0.0378092 |
| 1980-1989 |                1.02414   |
| 1990-1999 |                2.10909   |
| 2000-2009 |                4.08175   |
| 2010-2013 |                2.10909   |
