| title   |    Lambeth |
| 2003-04 | 17.329     |
| 2004-5  | 22.2693    |
| 2005-6  | 28.7296    |
| 2006-7  | 43.1705    |
| 2007-8  | 39.4788    |
| 2008-9  | 41.4604    |
| 2009-10 | 38.3931    |
| 2010-11 | 44.5005    |
| 2003-04 |  2.31813   |
| 2004-5  |  7.25841   |
| 2005-6  | 12.1987    |
| 2006-7  | 23.9794    |
| 2007-8  | 29.4897    |
| 2008-9  | 31.7698    |
| 2009-10 | 48.6808    |
| 2010-11 | 45.8306    |
| 2003-04 | -0.0434311 |
| 2004-5  |  8.7785    |
| 2005-6  | 11.6287    |
| 2006-7  | 15.4289    |
| 2007-8  | 13.7188    |
| 2008-9  | 15.9989    |
| 2009-10 | 17.139     |
| 2010-11 | 23.9794    |
| 2003-04 | 12.5787    |
| 2004-5  | 11.6287    |
| 2005-6  | 15.8089    |
| 2006-7  | 14.4788    |
| 2007-8  | 12.1987    |
| 2008-9  | 14.0988    |
| 2009-10 | 14.0988    |
| 2010-11 | 15.8089    |
