| title       |   2013-2014 |
| 10.00-14.99 |  -0.0115473 |
| 15.00-19.99 |   0.923788  |
| 20.00-24.99 |   1.097     |
| 25.00-27.99 |   4.87298   |
| 28.00-31.00 |  12.9792    |
| 10.00-14.99 |  -0.0115473 |
| 15.00-19.99 |  -0.0115473 |
| 20.00-24.99 |   1.85912   |
| 25.00-27.99 |   2.89838   |
| 28.00-31.00 |   1.96305   |
| 10.00-14.99 |  -0.0115473 |
| 15.00-19.99 |   0.0923788 |
| 20.00-24.99 |   0.923788  |
| 25.00-27.99 |   3.93764   |
| 28.00-31.00 |   3.93764   |
| 10.00-14.99 |  -0.0115473 |
| 15.00-19.99 |   0.889145  |
| 20.00-24.99 |   3.93764   |
| 25.00-27.99 |  11.94      |
| 28.00-31.00 |  19.0069    |
