|   title |    Kannur |
|      22 |  0        |
|      23 |  0        |
|      24 |  0.180513 |
|      25 |  0        |
|      26 |  3.97129  |
|      27 |  0.902566 |
|      28 |  5.95693  |
|      29 | 11.0113   |
|      30 |  7.94258  |
|      31 |  3.97129  |
|      32 |  0.902566 |
|      33 |  7.04001  |
|      34 |  7.04001  |
|      35 |  1.98564  |
|      36 |  0        |
|      37 |  3.97129  |
|      38 |  0.902566 |
|      39 |  1.80513  |
|      40 |  1.98564  |
|      41 |  0.180513 |
|      42 |  1.98564  |
|      43 |  0.180513 |
|      44 |  0.180513 |
|      45 |  0.180513 |
|      46 |  1.26359  |
|      47 |  0        |
|      48 |  0.902566 |
|      22 |  0.180513 |
|      23 |  0        |
|      24 |  1.98564  |
|      25 |  0.180513 |
|      26 |  3.06872  |
|      27 | 16.9682   |
|      28 | 16.0657   |
|      29 | 26.7159   |
|      30 | 21.12     |
|      31 | 25.0913   |
|      32 | 16.2462   |
|      33 |  9.92822  |
|      34 | 11.9139   |
|      35 |  3.97129  |
|      36 |  7.04001  |
|      37 |  7.22053  |
|      38 |  4.1518   |
|      39 |  5.05437  |
|      40 |  1.80513  |
|      41 |  3.97129  |
|      42 |  1.08308  |
|      43 |  0.722053 |
|      44 |  1.98564  |
|      45 |  0.722053 |
|      46 |  3.06872  |
|      47 |  0        |
|      48 |  0        |
|      22 |  1.98564  |
|      23 |  0.180513 |
|      24 |  0.902566 |
|      25 |  7.94258  |
|      26 | 15.8852   |
|      27 | 16.9682   |
|      28 | 21.8421   |
|      29 | 25.0913   |
|      30 | 31.7703   |
|      31 | 18.7734   |
|      32 | 18.7734   |
|      33 | 20.9395   |
|      34 | 16.9682   |
|      35 |  7.04001  |
|      36 |  5.05437  |
|      37 |  1.80513  |
|      38 |  1.80513  |
|      39 |  3.97129  |
|      40 |  0.180513 |
|      41 |  5.05437  |
|      42 |  0.902566 |
|      43 |  0.180513 |
|      44 |  2.88821  |
|      45 |  0.180513 |
|      46 |  0.902566 |
|      47 |  0.180513 |
|      48 |  0.180513 |
