|   title |   a/c = 0.2 |
|     0.1 |     3.00719 |
|     0.2 |     2.59619 |
|     0.3 |     2.18518 |
|     0.4 |     8.89828 |
|     0.5 |    18.4199  |
|     0.6 |    33.0106  |
|     0.7 |    57.26    |
|     0.8 |    60.137   |
|     0.1 |     3.4182  |
|     0.2 |     6.02124 |
|     0.3 |     6.84325 |
|     0.4 |     5.88423 |
|     0.5 |     2.87019 |
|     0.6 |     4.92522 |
|     0.7 |    24.3795  |
|     0.8 |    60.137   |
|     0.1 |     3.4182  |
|     0.2 |     7.93926 |
|     0.3 |    11.2273  |
|     0.4 |    14.7209  |
|     0.5 |    18.8309  |
|     0.6 |    23.5575  |
|     0.7 |    25.2015  |
|     0.8 |    60.137   |
|     0.1 |     3.4182  |
|     0.2 |     9.30928 |
|     0.3 |    15.1319  |
|     0.4 |    22.119   |
|     0.5 |    31.9831  |
|     0.6 |    49.9989  |
|     0.7 |    60.411   |
|     0.8 |    39.3127  |
