|   Category |   first quartile |      max |   median |      min |   third quartile |   x |
|          0 |          1.97889 | 2402.34  | 318.602  |  1.97889 |          656.25  |   1 |
|          0 |         71.2401  |  806.25  | 135.554  |  1.97889 |          562.5   |   2 |
|          0 |         29.1887  | 1312.5   | 145.449  |  1.97889 |          348.285 |   3 |
|          0 |         76.1873  | 1769.53  | 239.446  | 11.8734  |          508.594 |   4 |
|          0 |         76.1873  | 1181.25  | 239.446  |  1.97889 |          377.968 |   5 |
|          0 |         44.0303  | 2915.62  | 318.602  |  1.97889 |          698.438 |   6 |
|          1 |          6.92612 | 2500.78  | 298.813  |  6.92612 |          600     |   1 |
|          1 |         34.1359  | 2998.12  | 427.441  |  1.97889 |          604.688 |   2 |
|          1 |         56.3984  |  803.906 | 120.712  |  1.97889 |          454.65  |   3 |
|          1 |        244.393   | 1042.97  | 380.442  | 11.8734  |          646.875 |   4 |
|          1 |         29.1887  |  860.156 |  53.9248 |  1.97889 |          123.186 |   5 |
|          1 |         41.5567  |  700.781 | 187.5    |  1.97889 |          600     |   6 |
|          2 |         26.715   |  700.781 |  48.9776 |  1.97889 |          348.285 |   1 |
|          2 |          4.45251 |  806.25  |  56.3984 |  1.97889 |          150.396 |   2 |
|          2 |         48.9776  |  649.219 | 108.344  |  1.97889 |          222.131 |   3 |
|          2 |         51.4512  |  979.688 | 170.185  |  1.97889 |          345.811 |   4 |
|          2 |         39.0831  | 1174.22  | 140.501  |  1.97889 |          462.071 |   5 |
|          2 |         56.3984  | 1532.81  |  83.6082 |  1.97889 |          375.495 |   6 |
