| title   |   Pure PAA |
| pH3     |    1402.6  |
| pH5     |    3102.72 |
| pH7     |    3362.46 |
| pH9     |    3031.88 |
| pH11    |    3008.26 |
| pH3     |    1497.05 |
| pH5     |    3303.42 |
| pH7     |    3657.62 |
| pH9     |    3173.55 |
| pH11    |    3102.72 |
| pH3     |    1355.37 |
| pH5     |    2890.2  |
| pH7     |    3421.49 |
| pH9     |    2913.81 |
| pH11    |    3031.88 |
| pH3     |    1331.76 |
| pH5     |    2831.17 |
| pH7     |    3279.81 |
| pH9     |    2902.01 |
| pH11    |    2748.52 |
| pH3     |    1142.86 |
| pH5     |    2453.36 |
| pH7     |    2807.56 |
| pH9     |    2748.52 |
| pH11    |    2524.2  |
| pH3     |    1131.05 |
| pH5     |    2370.72 |
| pH7     |    2583.23 |
| pH9     |    2559.62 |
| pH11    |    2488.78 |
