|   title |   NP/ZDA |
|      75 |  95.5632 |
|     150 |  97.7601 |
|     225 |  98.6089 |
|     300 |  98.9585 |
|      75 |  93.4661 |
|     150 |  95.4634 |
|     225 |  97.5604 |
|     300 |  97.6603 |
|      75 |  96.8115 |
|     150 |  98.8087 |
|     225 |  99.3579 |
|     300 |  99.6075 ||      75 |  96.7116 |
|     150 |  98.1096 |
|     225 |  98.559  |
|     300 |  98.9085 |
|      75 |  95.9627 |
|     150 |  96.8115 |
|     225 |  97.5604 |
|     300 |  98.6589 |
|      75 |  98.0597 |
|     150 |  99.4578 |
|     225 |  99.6075 |
|     300 |  99.6075 |
