|   title |     bare |
|       0 | 100.555  |
|     200 |  94.7794 |
|     400 |  92.4691 |
|     600 |  90.7364 |
|     800 |  90.3514 |
|    1000 |  88.7149 |
|       0 | 100.555  |
|     200 |  95.9345 |
|     400 |  91.5065 |
|     600 |  91.8915 |
|     800 |  88.6186 |
|    1000 |  89.5813 |
|       0 | 100.555  |
|     200 |  93.8168 |
|     400 |  91.314  |
|     600 |  88.6186 |
|     800 |  86.6934 |
|    1000 |  84.6719 |
|       0 | 100.555  |
|     200 |  97.3785 |
|     400 |  94.7794 |
|     600 |  92.4691 |
|     800 |  89.0037 |
|    1000 |  89.0037 |
